Lang_detect: en,Ext_id: com.seamlessweb.android.view,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,AppID,AppName,Language,Review Language,Version,VersionCode,OS,Author,Rating,Title,Review,Translated title,Translated review,Reply Date,Developer Reply,User,Device,Device Type,Tags,Categories,Semantic Tags,Semantic Categories,Semantic Sentiment,Notes,Likes,Dislikes,Link,Permalink,AF Link
29/5/2016,com.seamlessweb.android.view,,en,en,,,,Rishika Tiwari,5,Haiba,It's great,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOGIzksyd1XTSx13rhNEr9q0n4X2GzQcgUKq1Oa463yBWd1nqyZlIhm-6vZ6YhRQE3I5_nCxYpCHyp20t88,https://appfollow.io/gp/112278/review/55799006?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799006
29/5/2016,com.seamlessweb.android.view,,en,en,,,,Karina de Sousa,5,Don't care for new layout,Preferred the old layout.  Harder to navigate. Would like some kind of rewards system.,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOGOKzDWLcxj1XzMIbS23-WsGTinqbkFNWMV_mjbD97_nZNuU2E5cHbzo-GA9nKQqlOAKsFUBITTfpWQYEo,https://appfollow.io/gp/112278/review/55799007?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799007
29/5/2016,com.seamlessweb.android.view,,en,en,,,,Michael Kline,5,Super Easy,"So easy to look at menus, prices, and order.",,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOH2cUym7-R_qUJ2thPVona1uoRjpb1PrJWlbJ6kygDsReynOixyX-EvVHrg_27EVHDPVRWPbAMpWv0yKv8,https://appfollow.io/gp/112278/review/55799008?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799008
29/5/2016,com.seamlessweb.android.view,,en,en,,,,Wilfredo Cabrera,5,I love this app,Easy to use,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOFmT4jON7dLG7vau-hD82HatMCn4NNA0rJBA3__Gj-L5rQTNSQ9Ghwlua7N-DTfesplrpEKJWo8Wmg3kgs,https://appfollow.io/gp/112278/review/55799009?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799009
29/5/2016,com.seamlessweb.android.view,,en,en,,,,Chris Penn,5,Life,This is how I live,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOG99zc76bhAC2WLpQI9kpAQ4DZiIbfpG3Td-_SRV9uysHRtwbQ0ODKbA5mhOGCmvBR__gMrr9_h7QJD-C0,https://appfollow.io/gp/112278/review/55799010?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799010
29/5/2016,com.seamlessweb.android.view,,en,en,,,,John Wu,4,Convenient but too clunky at same time,Filtering by cuisine and restaurants really needs to be improved,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOG8SoN6LCK31ieLcYYeqvMOyivlyiiWml6PGRX2yQmR_JLdPaWlNxWAsooW38Lcm7hUZUemdZzyf8aSanc,https://appfollow.io/gp/112278/review/55799011?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799011
29/5/2016,com.seamlessweb.android.view,,en,en,,,,meriyen marquez,5,Easy to use,Easyto use very straight foward,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOHRfez0MeqdxbdWqNiBqEAvOBbW2q_5nAeX8If0D3ZHNIo-QYM6PWgKCksjTM2pV0qzA_ANzHGKJEjfkv4,https://appfollow.io/gp/112278/review/55799012?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799012
29/5/2016,com.seamlessweb.android.view,,en,en,,,,Royce Grant,4,Great app and service,It's very helpful. Gets me feed quick and easy,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOHmRSUqUWoKLw4HFR-Z7pYFom4fPE2R8E2bk621a0s5WwJB4j3XDu08DajJIzhRcoVCnpoPTqAQeNPyVH4,https://appfollow.io/gp/112278/review/55799013?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799013
29/5/2016,com.seamlessweb.android.view,,en,en,,,,Ryan Lam,1,It sucks,It literally sucks,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOEQS5oEjuk5Fqzcz2biRon8csWsv_AG5UT1nYOJErrc3KrGPpovfDXbHdauSXxVlAVl0a7SwWgRsgmrq3o,https://appfollow.io/gp/112278/review/55799014?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799014
29/5/2016,com.seamlessweb.android.view,,en,en,,,,nicholas zavattero,1,dont get it,didnt tell me i didnt place my order its poop,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOFdp-InkiPDE1Vrq9vSXUVlo4zeavkFOucan4tYjY3lHkGH51R409gqv24VSfNxRjmIGgiGm_m9bvjAtkA,https://appfollow.io/gp/112278/review/55799015?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799015
29/5/2016,com.seamlessweb.android.view,,en,en,,,,Stella Ragusa,5,,Even better in Brooklyn,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOGQPoh79EVAPewpx7BvNlLnTtVr33UMDFsAYHo1uOFuuFV7MWDucHH8kP-uRxIpE5FqmOaPPWttmnAJXKk,https://appfollow.io/gp/112278/review/55799016?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799016
29/5/2016,com.seamlessweb.android.view,,en,en,,,,Connor O'Hara,5,,Best delivery app,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOFFRjU7And5jSychmkKu_MtV28_hPaOia1yFuoDBN6bAWMpTN-TjFLb-0DunJS9ImHJBrZnm_N29A6vpTI,https://appfollow.io/gp/112278/review/55799017?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799017
29/5/2016,com.seamlessweb.android.view,,en,en,,,,Gregory Cruz,3,Needs an update,"Restaurant hours are different between phone and desk top. Also, the mobile app doesn't let me changed payment into, but on my desktop it will.",,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOGUrw8d18kq1HzhaeBCKaU_oOnB_3oGR7YNdDt9CKtcbTsg1SbPJj0fjBPKWHVqHgIFuHAe77ldneUCS0M,https://appfollow.io/gp/112278/review/55799018?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799018
30/5/2016,com.seamlessweb.android.view,,en,en,,,,Abhijit Bose,4,,Mostly works great,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOEM2czMXyY1emFBq9kZ7ewf4-m7PaMSWjC_62XZqe1gucAQN8d9TY2fI6K5StMTnmWSdqbekdMID50xOiw,https://appfollow.io/gp/112278/review/55798947?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55798947
30/5/2016,com.seamlessweb.android.view,,en,en,,,,Anthony Duran,5,Genius,"Dream come true, I've become quite the couch potato!",,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOEfK8_ZztnshEIl8o67zcM2KGv4N7fcsYORNVmZDYn64EvR0Hi5fgG4CD7xCEkXnlK4NJFW4o9y99SwDFo,https://appfollow.io/gp/112278/review/55798948?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55798948
30/5/2016,com.seamlessweb.android.view,,en,en,,,,Gregory Fafafafa,5,Yeet,Food boi,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOHfUXv55q-KSwrEzwBb1vubUspg9Y8nQImpKco8RP46afNiMqDoFlyEpKnixcT_KZ4hUfcMnqA4qSecuMw,https://appfollow.io/gp/112278/review/55799019?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799019
30/5/2016,com.seamlessweb.android.view,,en,en,,,,TheLonewolf7001,5,This app is magical,"I merely point to something I want, and less than an hour later food appears.  What witchcraft this be?",,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOFlD0PEKj_h-GfYef80AK-jM9trqHDRqr6CQI470Lzkjb7LRUObhELyChxFHKjU0qVKoz8hbx0MGbZwVag,https://appfollow.io/gp/112278/review/55799020?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799020
30/5/2016,com.seamlessweb.android.view,,en,en,,,,Mohindra Rupram,4,Aight.,"Usually works, good selection, sometimes buggy.",,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOEByBbDL3YSh8oWiqKWziONlOFSGnXZMwqPLfbuAZES_KE7zxGKox5ofJcrvI9INyHG9bNCWpQDf_asyuw,https://appfollow.io/gp/112278/review/55799021?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799021
30/5/2016,com.seamlessweb.android.view,,en,en,,,,Dammand Cherry,5,If only..,"When I was in college 20 years ago, I would have passed more classes. My better grades would have lead to a better job. Because of my success people would have urged me to run for congress, then senate. Ultimately leading me to governor of NY. Then President. My life would have been so much better.",,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOH-mYbwPneDXKfMMgVJBqN75RoPHCVCY8hY_o3PLn6zv0i0Y_B1Lvt0Tr-5gGppCEuZFe0C9oorD025GlY,https://appfollow.io/gp/112278/review/55799022?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799022
30/5/2016,com.seamlessweb.android.view,,en,en,,,,Ariana Nunez,4,It's gotten better,Good,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOHiiFvbESsy4A7xDgAyQEAMouTGbuUTqujAdkqlkPm25KMGP6fq7tTOaMx15m0948jaAaoelqde0dTh1Gs,https://appfollow.io/gp/112278/review/55799023?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799023
30/5/2016,com.seamlessweb.android.view,,en,en,,,,Isaac,5,Easy to use,Best thing ever :),,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOEBfkXVpP-oP12bW5fjC8WQFp0Ov8CvPGzbQpGt-klYDLjGcaoJM6K5FOO_utj5vEGcu0FILLDroi9-CaY,https://appfollow.io/gp/112278/review/55799024?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799024
30/5/2016,com.seamlessweb.android.view,,en,en,,,,David Barth,3,Quality,Restaurants are totally inconsistent,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOGuub6cM3_TAXlR1ZZY-hUjP98D9Azc0NFVqKtoFY0za7nmgtnR9mGHqFIENCLi4S2jsxAZi0rPhgqTwhk,https://appfollow.io/gp/112278/review/55799025?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799025
30/5/2016,com.seamlessweb.android.view,,en,en,,,,Tammy Lam,5,Easy to use,Clean interface makes ordering on the go a snap!,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOEfTyfoXqjcKptgwqwIufY0H_EHs16KayMb_ANK5naSVgg9lbUMzceLXShFxdjuTV8ZAWxkJ3Fik7xeH9U,https://appfollow.io/gp/112278/review/55799026?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55799026
31/5/2016,com.seamlessweb.android.view,,en,en,,,,Raj Kochhar,5,Obsessed,I use Seamless all the time and it's awesome!,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOETn6E1prhNwNjzcblxbJ7tDoeNOhmFr7XkVxpg-nXnli2OMsoGGw9I3MSLttOqg0vCQMHMKIjQhRiK5uQ,https://appfollow.io/gp/112278/review/55798949?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55798949
31/5/2016,com.seamlessweb.android.view,,en,en,,,,john kozyrakis,5,,Easy app to navigate through,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOHzs8jfR16xZ1iKjIfgjDmqm4ZIfmayx83627zEeq2fyHqL5XLyAvzSquSteEPvhaUZ2RiBAt9LHkMdjN4,https://appfollow.io/gp/112278/review/55798950?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55798950
31/5/2016,com.seamlessweb.android.view,,en,en,,,,Kyle Dontoh,5,,"No problems with the app itself, although sometimes options are clearly entered incorrectly (e.g., shown as addons or single-choice when they are actually included or multiple-choice), but this is the fault of restaurants rather than app developers.",,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOF3FrtLLa8X7PKgocuPM4cbomQw2NJniHvr_iUorr7cFCuZ7SwYqWMdWBKgTQQ-YR_xvdmUgCIOINFG7Wk,https://appfollow.io/gp/112278/review/55798951?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55798951
31/5/2016,com.seamlessweb.android.view,,en,en,,,,Lila Albizu,5,,Very easy to use. Too easy....bit of a problem on my wallet :P,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOHlkDWLdTKnzXTleslo-gcjPcxxyVmyDPmnYzCWQ-ZTiJM43vZxkd0ZXzeAgBsK1Xt_WmAvqvis-w-CXo0,https://appfollow.io/gp/112278/review/55798952?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55798952
31/5/2016,com.seamlessweb.android.view,,en,en,,,,Alex Filiakov,5,Awesome app!,"Converts clicks into food, what more could you ask for?",,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOFyofQlkSSJ4elMGbpY2Y3g-rsQw2Hlp_18PleLYeDxAZcyl35oEMezDck6K95sSLYgIqbqgtlo3rOVM60,https://appfollow.io/gp/112278/review/55798953?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55798953
1/6/2016,com.seamlessweb.android.view,,en,en,,,,Matt Andring,4,Pretty good,Wish it worked in landscape mode on my tablet.,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOGkeJrMgiUJwcX47kbt9RYtwTS_uw_gtrvW1U4u8axFTALUHtVtmMUyT9-VgblO6ZmQbErwXjv8iY-oVvM,https://appfollow.io/gp/112278/review/55798954?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55798954
1/6/2016,com.seamlessweb.android.view,,en,en,,,,Chrystal Mckinney,5,,Great app,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOGT8uwIyedUdq7jS0uhCIeBh1ssjxE_ITuFh_7Q0DMopyRAm_DwKQPdWBjpRDWc96SBTOPB8bvT44XQ_hc,https://appfollow.io/gp/112278/review/55798955?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55798955
1/6/2016,com.seamlessweb.android.view,,en,en,,,,charles colbert,5,Great app,Convenient app to order food without talking on the phone. Have yet to be disappointed.,,,,,,,,,,,,,,,,https://play.google.com/console/u/0/developer//app//user-feedback/review-details?reviewId=gp:AOqpTOG_7FgC5YDQZjmbsHMPP8hYuL7D52k1FztJ6sv3KZHWhVa0C5sZX_jK2DunKQeyLpMj-uyj26Azb2qaiYI,https://appfollow.io/gp/112278/review/55798956?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485158?review_id=55798956
