Ext_id: 381840917,Lang_detect: en,,,,,,,,,,,,,,,,,,,,,,,,
Date,AppID,AppName,Country,Review Language,Version,Author,Rating,Title,Review,Translated title,Translated review,Reply Date,Developer Reply,User,Tags,Categories,Semantic Tags,Semantic Categories,Semantic Sentiment,Notes,Likes,Dislikes,Link,Permalink,AF Link
19/12/2017,381840917,,us,en,4.36,hangel11,1,Gets worse every day,Prompts to rate app every use! Fewer restaurants by day,,,6/9/2019 16:46,"Thank you for using Seamless.  We appreciate your feedback
",,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2010194860,https://appfollow.io/app/50238/review/98348347?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348347
21/12/2017,381840917,,us,en,4.36,AForeman,1,Don’t bother it’s literally a waste of time,The delivery times are a lie. They will give you $10 bucks for waiting over an hour for a twenty minute delivery time. Customer service is useless.,,,8/8/2018 00:45,Yikes AForeman! We're sorry you were having a poor experience with us! We're always happy to look into any order issues on your behalf!,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2013160321,https://appfollow.io/app/50238/review/98348348?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348348
21/12/2017,381840917,,us,en,4.36,juancm51,1,App crashes and freezes iPhone X,"App worked fine on my iphone 7 but when I upgraded to iPhone X this app seemed to have a mind of its own. Now after updating, it crashes and freezes my cellphone. I constantly have to restart my phone after opening the app. I switched to Delivery.com as it seems to work 100% fine .",,,,,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2013366881,https://appfollow.io/app/50238/review/98348349?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348349
21/12/2017,381840917,,us,en,4.36,Chile Gman,1,Keeps Crashing,"With the latest update on am iphone x, the app keep getting stuck and crashes. 
Some restaurants aren't updated with the opening and closing hours. 
Some restaurants are listed withing the range but they won't deliver to the area.",,,6/9/2019 16:41,Thank you for using Seamless.  We appreciate your feedback,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2015391999,https://appfollow.io/app/50238/review/98348350?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348350
22/12/2017,381840917,,us,en,4.36,Yellow sparkles,5,Perfect for rainy days,Love this app for rainy cold winter day when I don’t feel like cooking or jumping in my car to to take out.,,,6/9/2019 16:39,Thank you for using Seamless.  We appreciate your feedback,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2018521092,https://appfollow.io/app/50238/review/98348351?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348351
23/12/2017,381840917,,us,en,4.36,majestyjanelle,1,Bad,"First time using and our food was late, cold and bad and it was expensive. Not using these delivery apps anymore. Sticking to restaurants that deliver.",,,6/9/2019 16:37,Thank you for using Seamless.  We apologize for your experience and we appreciate your feedback. ,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2018874835,https://appfollow.io/app/50238/review/98348353?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348353
23/12/2017,381840917,,us,en,4.36,thatrarefeeling,5,Great app,Love that my fatass don’t gotta leave my crib to get some food,,,8/8/2018 00:41,Hey thatrarefeeling! We love you! We're happy we can help you with all your ordering needs!,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2018930128,https://appfollow.io/app/50238/review/98348354?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348354
23/12/2017,381840917,,us,en,4.36,Roddy Car,1,Completely broken,"For the past several updates, the app completely locks up every time I try to use it. It's so broken that it actually freezes my iPhone for twenty seconds afterwards! Fix your app GrubHub!",,,,,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2018976107,https://appfollow.io/app/50238/review/98348355?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348355
23/12/2017,381840917,,us,en,4.36,Waterpoo,5,hey this is a,good app!,,,6/9/2019 16:28,Thank you for using Seamless.  We appreciate your feedback,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2021713245,https://appfollow.io/app/50238/review/98348356?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348356
24/12/2017,381840917,,us,en,4.36,michael hesh,2,Poorly designed app,"The app needs to be more streamlined to do what it’s intended to do; order food. 
Delivery.com is a prime example of a streamlined and easy to function app that seamless should take note of.",,,,,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2024434451,https://appfollow.io/app/50238/review/98348357?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348357
25/12/2017,381840917,,us,en,4.36,OfficerNickWilde,4,Good service and easy to use,"Easy to use, service (for me) has been better than DoorDash in terms of getting orders correct.",,,6/9/2019 16:26,Thank you for using Seamless.  We appreciate your feedback,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2025073735,https://appfollow.io/app/50238/review/98348358?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348358
25/12/2017,381840917,,us,en,4.36,Empiredenise,5,Thank goddess,Fur Xmas morning deliver bagels. That’s all I need to be happy.  Also no talking.,,,6/9/2019 16:25,Thank you for using Seamless.  We appreciate your feedback,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2026540324,https://appfollow.io/app/50238/review/98348359?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348359
25/12/2017,381840917,,us,en,4.36,Onlyweb,3,Confusing coupon wording,I was supposed to get a free General Tao order when there was a min amt fulfilled in my order. The coupon doesn't work; a popup stating I had to order what was required in the terms didn't disappear even when I placed the General Tao order in the cart. No free item,,,6/9/2019 16:23,Thank you for using Seamless.  We appreciate your feedback,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2026793112,https://appfollow.io/app/50238/review/98348360?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348360
26/12/2017,381840917,,us,en,4.36,RamzH$B,5,Excellent seevicd,Best Idea ever. Seamlessly,,,6/9/2019 16:17,Thank you for using Seamless.  We appreciate your feedback,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2029441062,https://appfollow.io/app/50238/review/98348361?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348361
26/12/2017,381840917,,us,en,4.36,AleVillarreal,5,Perfect,Works perfect for us. We order at least once a week and have no problems with restaurants where we place the order,,,6/9/2019 16:17,Thank you for using Seamless.  We appreciate your feedback,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2030312435,https://appfollow.io/app/50238/review/98348362?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348362
27/12/2017,381840917,,us,en,4.36,Gibsy11,4,Good app but check address 5x,"Good app, great service. However, if you move and continue to use this app beware! The app will default to your previous address if you order from a restaurant that you’ve ordered from before. I checked my order twice but once I paid it had reverted to my old address again! There’s no way to get rid of it. I changed all my addresses on the app and it will still use my old address. Fortunately customer service is helpful in contacting the restaurant when this happens but if you don’t check your receipt you may not even know that it’s going to the wrong address until you’ve waited for an hour and you’re starting to starve. Since you’ve already paid for the food there’s also little you can do if you end up getting cold food in the end. Phone orders definitely take less time and are more accurate. Please fix this.",,,8/8/2018 23:11,"Hi Gibsy11. We are sorry for the inconvenience that you experienced. We appreciate the feedback. If you need further assistance, please contact Customer Service at 1-877-585-7878.",,,,,,,,1,5,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2030375802,https://appfollow.io/app/50238/review/98348061?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348061
27/12/2017,381840917,,us,en,4.36,Never be overweight again,5,The best app,"Everything is presented very nicely, orders are always correct, you are notified that order is being worked on, cash or credit payment options- great restaurants participate!",,,6/9/2019 16:14,Thank you for using Seamless.  We appreciate your feedback,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2033186776,https://appfollow.io/app/50238/review/98348317?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348317
27/12/2017,381840917,,us,en,4.36,Reluctant New Customer,3,The app barely does the bare minimum,The food is never delivered within the suggested timeline and the order is never as requested. It seems the general communications system between the restaurant and the app is flawed.,,,6/9/2019 16:12,Thank you for using Seamless.  We appreciate your feedback,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2033242496,https://appfollow.io/app/50238/review/98348318?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348318
27/12/2017,381840917,,us,en,4.36,unclebugspayton,5,Yesssss for Brooklyn eating on the fly,"Love it. I can order in a flash. Food is from places I usually eat from anyway, so this is awesomely convenient. I do not like the tip calculator, though. It’s incredibly enlarged and isn’t a delivery tip amount. It’s more for a waiter’s service. I don’t tip the delivery guy based on the price of my food....but on the amount of food/bags/weather conditions, etc.",,,6/9/2019 16:15,Thank you for using Seamless.  We appreciate your feedback,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2030446213,https://appfollow.io/app/50238/review/98348363?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348363
27/12/2017,381840917,,us,en,4.36,Ballsack McGinnis,4,Great,Use it all the time,,,,,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2032718607,https://appfollow.io/app/50238/review/98348364?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348364
27/12/2017,381840917,,us,en,4.36,Rodaann,1,Annoyingly buggy,"App keeps freezing and crashing, I like using seamless but the developer does a terrible job keeping this running well. Guess I’ll keep using delivery.com",,,,,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2033133641,https://appfollow.io/app/50238/review/98348365?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348365
28/12/2017,381840917,,us,en,4.36,ARL247,5,An Excellent App,Without Seamless how would we eat? Easy to use and a huge selection of restaurants. The only issue is some restaurants complain about how much Seamless charges them for the service and try to develop their own apps which are not as good.,,,6/9/2019 16:10,Thank you for using Seamless.  We appreciate your feedback,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2033605375,https://appfollow.io/app/50238/review/98348319?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348319
28/12/2017,381840917,,us,en,4.36,LloydBanksy,1,Worst app,This app crashes more often than a drunk Stevie Wonder driving cross country.,,,6/9/2019 16:06,Thank you for using Seamless. We appreciate your feedback.,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2033609992,https://appfollow.io/app/50238/review/98348320?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348320
28/12/2017,381840917,,us,en,4.36,stillbreathing,2,"Great idea, swiftly getting worse","I love Seamless. As a New Yorker, I use it daily. The app updates as of late though have made it extremely buggy. For whatever reason the iPad and iPhone versions crash often, and usually just when I’m about to place an order. iPad app constantly asks me to renter my address before crashing. Both apps have removed the saved restaurants feature, which used to be very helpful. Also delivery times are often way way off, but that may be the fault of individual restaurants. Would be nice if that was regulated. Anyway, I am getting increasingly frustrated with Seamless.",,,6/9/2019 16:03,Thank you for using Seamless. We appreciate your feedback.,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2035372358,https://appfollow.io/app/50238/review/98348321?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348321
28/12/2017,381840917,,us,en,4.36,Kjjhgff,1,Apply button doesn’t work!!!,"Would give zero stars if I could. 

Hit Cuisines, make your selection(s)—can’t apply! Button doesn’t work!

How do these idiots not test this garbage???",,,6/9/2019 16:04,Thank you for using Seamless We apologize for your experience.  We appreciate your feedback ,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2036262312,https://appfollow.io/app/50238/review/98348322?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348322
29/12/2017,381840917,,us,en,4.36,Photo Josh,2,Fails To Load,The app stays on the splash screen for 1 min before crashing. When it does work it freezes frequently.,,,6/9/2019 16:01,Thank you for using Seamless.  We appreciate your feedback. ,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2036766671,https://appfollow.io/app/50238/review/98348323?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348323
30/12/2017,381840917,,us,en,4.36,SILENTHILLL,5,Thumbs up.,Love it!!!,,,6/9/2019 16:00,Thank you for using Seamless.  We appreciate your feedback. ,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2039469374,https://appfollow.io/app/50238/review/98348324?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348324
30/12/2017,381840917,,us,en,4.36,shchorii,1,Pictures of the food,Seamless needs to have kore pictures of the food to avoid confusions,,,,,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2039671536,https://appfollow.io/app/50238/review/98348325?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348325
30/12/2017,381840917,,us,en,4.36,VitaminDeez,1,Broken,"I lived in NY four years ago and now live in Seattle.  No matter what I do, it only shows me restaurants in NY.  Filter = broken. Location Services = broken.  Deleted and reinstalled app = broken.  Logged out and back in = broken.",,,6/9/2019 15:58,Thank you for using Seamless. We apologize for your experience.  Please contact Customer Care at 877-595-1085 so that we may assist you.,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2041348738,https://appfollow.io/app/50238/review/98348326?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348326
30/12/2017,381840917,,us,en,4.36,Brooklynraiders,5,Great job,Awesome! Never had a problem with it yet....  grub hub someone actually hacked my account,,,6/9/2019 15:53,Thank you for using Seamless. We appreciate your feedback,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2042211851,https://appfollow.io/app/50238/review/98348327?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348327
30/12/2017,381840917,,us,en,4.36,spd316,1,Unusable,Cannot open app. Crashes every. Single. Time.,,,6/9/2019 15:52,Thank you for using Seamless.  We appreciate your feedback. ,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2042236790,https://appfollow.io/app/50238/review/98348328?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348328
31/12/2017,381840917,,us,en,4.36,btcarelli,1,This app freezes my phone,"I have an iPhone X, my girlfriend has an iPhone 8 Plus, and this app is terrible on both of our phones. It crashes constantly and will freeze our phone for minutes at a time. There is a serious bug, the developers should address this immediately",,,,,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2042451502,https://appfollow.io/app/50238/review/98348329?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348329
31/12/2017,381840917,,us,en,4.36,ritzybittzy,2,Crashing Garbage,"Doesn't show half of the restaurants, suggestions are horrible and too far away,
Literally crashes every second time I use it.",,,24/1/2019 18:50,"Hello ritzybittzy, I am so sorry for your experience with our app. Please download the latest version as we fix the issues and added more options for our users to see and choose from. Happy ordering!",,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2043006276,https://appfollow.io/app/50238/review/98348330?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348330
31/12/2017,381840917,,us,en,4.36,EduardoH91,5,The best!,"I love it, ordering food never been so easy ????☺️",,,8/8/2018 00:48,Hi EduardoH91! We love you! Happy Ordering!,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2044712007,https://appfollow.io/app/50238/review/98348331?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348331
31/12/2017,381840917,,us,en,4.36,Qgdnsonnalpnsb,5,Prime,The app is phenomenal honestly if you live in a city you need something like this,,,9/8/2018 06:58,Hey Qgdnsonnalpnsb! Thank you for the review. We hope to feed you again soon!,,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2045428352,https://appfollow.io/app/50238/review/98348332?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348332
1/1/2018,381840917,,us,en,4.36,Jairy vergara,5,I love it!!!,Amazing app!!! They are fast and reliable!!!,,,20/3/2018 23:21,"Hi Jairy Vergara, Seamless here, glad you love the app!",,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2047523773,https://appfollow.io/app/50238/review/98348334?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348334
1/1/2018,381840917,,us,en,4.36,MatteoVH,1,Crashes constantly,Always,,,9/8/2018 06:59,"Hi MatteoVH, if you're having any issues with the app or service we encourage you to contact us at (877) 585-1085 and we would be more than happy to assist!",,,,,,,,,,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/381840917/ios/ratingsResponses?reviewId=2047739618,https://appfollow.io/app/50238/review/98348335?s=global2,https://watch.appfollow.io/apps/my-first-workspace/reviews/485149?review_id=98348335
